Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Source
Positive Regulation of Nucleocytoplasmic Transport (GO:0046824)	2/46	0.000773435143729158	0.0194548686153411	0	0	56.6420454545455	405.821492396118	SMAD3;ZC3H12A	GO_Biological_Process_2025
Positive Regulation of Reactive Oxygen Species Metabolic Process (GO:2000379)	2/52	0.00098773270170104	0.0230706138183029	0	0	49.83	344.828505347782	ZC3H12A;PDGFB	GO_Biological_Process_2025
Positive Regulation of Intracellular Protein Transport (GO:0090316)	2/69	0.00173178171962537	0.0377528414878331	0	0	37.1548507462687	236.2530013272	SMAD3;ZC3H12A	GO_Biological_Process_2025
Regulation of Fat Cell Differentiation (GO:0045598)	2/75	0.00204193150601686	0.0392771530863244	0	0	34.0907534246575	211.153323406964	SMAD3;ZC3H12A	GO_Biological_Process_2025
Positive Regulation of Protein Localization to Nucleus (GO:1900182)	2/75	0.00204193150601686	0.0392771530863244	0	0	34.0907534246575	211.153323406964	SMAD3;ZC3H12A	GO_Biological_Process_2025
Positive Regulation of Protein Modification by Small Protein Conjugation or Removal (GO:1903322)	2/79	0.00226227479622998	0.0410979921315113	0	0	32.3133116883117	196.832803535841	ZC3H12A;GNL3	GO_Biological_Process_2025
Regulation of Gene Expression (GO:0010468)	5/1127	0.002604128841654	0.04320528575425	0	0	6.46510352392705	38.4716140414143	RAMP3;SMAD3;TRIM4;ZC3H12A;PDGFB	GO_Biological_Process_2025
Positive Regulation of Endothelial Cell Migration (GO:0010595)	2/88	0.00279734326962424	0.04320528575425	0	0	28.9186046511628	170.014939004445	ZC3H12A;PDGFB	GO_Biological_Process_2025
Positive Regulation of MAPK Cascade (GO:0043410)	3/362	0.00392117742849926	0.04320528575425	0	0	10.9320334261838	60.5783688863672	RAMP3;ZC3H12A;PDGFB	GO_Biological_Process_2025
Negative Regulation of Gene Expression (GO:0010629)	3/364	0.00398222593892571	0.04320528575425	0	0	10.8703601108033	60.0686787616837	SMAD3;ZC3H12A;PDGFB	GO_Biological_Process_2025
Positive Regulation of DNA Metabolic Process (GO:0051054)	2/108	0.00417764350659283	0.04320528575425	0	0	23.438679245283	128.397271145148	PDGFB;GNL3	GO_Biological_Process_2025
Pentose-Phosphate Shunt, Non-Oxidative Branch (GO:0009052)	1/5	0.00449229270839297	0.04320528575425	0	0	293.794117647059	1588.07239728978	TKT	GO_Biological_Process_2025
Regulation of Glomerular Filtration (GO:0003093)	1/5	0.00449229270839297	0.04320528575425	0	0	293.794117647059	1588.07239728978	PDGFB	GO_Biological_Process_2025
Regulation of Transforming Growth Factor Beta2 Production (GO:0032909)	1/5	0.00449229270839297	0.04320528575425	0	0	293.794117647059	1588.07239728978	SMAD3	GO_Biological_Process_2025
